1,SHIKI,http://www.animeget.com/shiki-episode-USER_ENTRY,8
2,MONSTER,http://animewaffles.tv/Player-Monster-Episode-USER_ENTRY-English-Subbed-37301,6
3,NARUTO,http://www.naruget.com/watch/1202-naruto-shippuden-episode-USER_ENTRY/,368
4,GUNDAM 00 S2,http://www.gogoanime.com/mobile-suit-gundam-00-s2-episode-USER_ENTRY,12
5,ANOTHER,http://www.gogoanime.com/another-anime-episode-USER_ENTRY,8
6,ELFEN LIED,http://www.gogoanime.com/elfen_lied_episode_USER_ENTRY,2
